,Unnamed: 0.1,text
67,67,"rt @norbertelekeste: because of #boycottchina , many are forgetting /getting diverted from the main goal of #aatmanirbharbharat 

boycott china is possible only if we encourage indian goods and goods manufactured in india but not by destroying/throwing out chinese products. 
#swadeshifirst   
+"
68,68,rt @sanaya_speaks: भारत और चीन के बीच गलवान घाटी में छिड़ी जंग चीन को बहुत महंगी पड़ने वाली है. #boycottchina की मुहिम अब रंग लाने लगी है. देश के बड़े-बड़े बिजनसमैन भी इस मुहिम से जुड़ने लगे हैं. विभिन्न क्षेत्रों में कारोबार करने वाली कंपनी jsw ग्रुप ने सीमा पर जारी तनाव के बीच चीन से 40 करोड़ https://t.co/kn0ryfrd3i
69,69,"#मोदी_का_जलवा
camscanner is banned in india
 the below given pdf is uploaded by sub divisional officer pune and is scanned by camscanner. is there any penal action for using banned apps ?
@officeofut @pmoindia @amitshah @narendramodi #boycottchineseproduct #boycottchina https://t.co/xbdtzahfng"
70,70,"rt @brookly64620078: @sarathprasanna4 fyi

#chinaliespeopledie 
#boycottchina 
#hongkongers 
#standwithindia https://t.co/ejmkbj02ie"
71,71,"read the thread, #ccpchina can never be trusted.

#boycottchina https://t.co/t3mymg7mhl"
72,72,rt @rehmanafiya99: @thewolfpackin #boycottchineseproduct #boycottchina https://t.co/aqy3hn0fc7
73,73,@globaltimesnews #boycottchina
74,74,"we jqve to do it to support our country, our martyr's soldier, govt and most imp for us.

#boycottchina https://t.co/ro55r7i5ha"
75,75,"camscanner is banned in india
 the below given pdf is uploaded by sub divisional officer pune and is scanned by camscanner. is there any penal action for using banned apps ?
@officeofut @pmoindia @amitshah @narendramodi #boycottchineseproduct #boycottchina #camscanner https://t.co/rbwzpvviqa"
76,76,"@g1234567787 corona update in india!

confirmed: 760761
active: 270277
recovered: 469366
deaths: 21018
updated: 08/07/2020 20:23:25

#boycottchina #replaceit

for remove chinese apps download replace it - https://t.co/1fl5dav5j3 https://t.co/phwf5rhfwk"
77,77,"@covidnewsbymib corona update in india!

confirmed: 760761
active: 270277
recovered: 469366
deaths: 21018
updated: 08/07/2020 20:23:25

#boycottchina #replaceit

for remove chinese apps download replace it - https://t.co/1fl5dav5j3 https://t.co/kfmntqvtgb"
78,78,"@tablefact corona update in india!

confirmed: 760761
active: 270277
recovered: 469366
deaths: 21018
updated: 08/07/2020 20:23:25

#boycottchina #replaceit

for remove chinese apps download replace it - https://t.co/1fl5dav5j3 https://t.co/rwhu8fk7ee"
79,79,"@coco99925548 corona update in india!

confirmed: 760761
active: 270277
recovered: 469366
deaths: 21018
updated: 08/07/2020 20:23:25

#boycottchina #replaceit

for remove chinese apps download replace it - https://t.co/1fl5dav5j3 https://t.co/fd8dvakxwk"
80,80,"@railnf corona update in india!

confirmed: 760761
active: 270277
recovered: 469366
deaths: 21018
updated: 08/07/2020 20:23:25

#boycottchina #replaceit

for remove chinese apps download replace it - https://t.co/1fl5dav5j3 https://t.co/h9qbxqjhgj"
81,81,भारत और चीन के बीच गलवान घाटी में छिड़ी जंग चीन को बहुत महंगी पड़ने वाली है. #boycottchina की मुहिम अब रंग लाने लगी है. देश के बड़े-बड़े बिजनसमैन भी इस मुहिम से जुड़ने लगे हैं. विभिन्न क्षेत्रों में कारोबार करने वाली कंपनी jsw ग्रुप ने सीमा पर जारी तनाव के बीच चीन से 40 करोड़ https://t.co/pwfr5nfty2
82,82,"rt @whiterabbit111: now haters will say that stephen bannon is also a bhakt 🤫

listen to the third-person point of view...

#indiachinastandoff #boycottchina #galwanvalley #chinaadmitspushback #us #india https://t.co/vwmqyfogw3"
83,83,"we are opposing china digitally by banning their app why not ban companies like swiggy, zomato and ola who take money from china to do business in india.
ban all chinese funded companies in india.

#boycottchina #covid19 #chinaindiafaceoff"
84,84,"like i always said, china can never be a friend. their intention is so tainted, it will make hell a better option. beware; for tibetans have learned it first hand! #boycottchina #boycottchineseproducts #istandwithindianarmy #nepalindiaborder https://t.co/ryhnkj2djq"
85,85,"rt @theharshadahir: today, we are launching garud file transfer, share apps, movies, music, documents, and more.

- no ads
- very easy and clean user interface
- made in india

hoping for your love and support.

download here : https://t.co/pcjdjyd32y

#boycottchina #swadeshifirst
#vocalforlocal ❤️ https://t.co/rtrnkjue2x"
86,86,more like boycott #boycottchina https://t.co/cbsuojng5p
87,87,"@gordongchang @samwong03297283 ccp is spreading the fake news again. the free world must take down this evil empire!
#china_is_terrorist 
#makechinapay 
#boycottchina"
88,88,rt @sanaya_speaks: भारत और चीन के बीच गलवान घाटी में छिड़ी जंग चीन को बहुत महंगी पड़ने वाली है. #boycottchina की मुहिम अब रंग लाने लगी है. देश के बड़े-बड़े बिजनसमैन भी इस मुहिम से जुड़ने लगे हैं. विभिन्न क्षेत्रों में कारोबार करने वाली कंपनी jsw ग्रुप ने सीमा पर जारी तनाव के बीच चीन से 40 करोड़ https://t.co/kn0ryfrd3i
89,89,"@scmpnews #boycottchina
#chinaliedpeopledied 
#makechinapay"
90,90,rt @sanaya_speaks: भारत और चीन के बीच गलवान घाटी में छिड़ी जंग चीन को बहुत महंगी पड़ने वाली है. #boycottchina की मुहिम अब रंग लाने लगी है. देश के बड़े-बड़े बिजनसमैन भी इस मुहिम से जुड़ने लगे हैं. विभिन्न क्षेत्रों में कारोबार करने वाली कंपनी jsw ग्रुप ने सीमा पर जारी तनाव के बीच चीन से 40 करोड़ https://t.co/kn0ryfrd3i
91,91,"rt @hembharadwaj_st: #makeinindia राखी से लेकर दिवाली तक सभी त्यौहार कैसे होंगे पूरी तरह भारतीय। इसके लिए @caitindia ने शुरू की तैयारियां ताकि बाजारों में न हो भारतीय सामान की कमी। 
#boycottchina  
@sandhyatimes4u 
@nbtdilli 
@navbharattimes https://t.co/jqlzitu5si"
92,92,"https://t.co/tidrwf8i92

please please please watch my new video #chillichinanews #boycottchina #madeinindia 
like+share+ comments &amp; subscribe my channel🤗🤗🙏"
93,93,"最近、中国アプリ検索用アプリ使ってる。
このアプリ自体が中国製でないことを祈る。ちゃんとインド製だと信じたい。

こないだ中国アプリを1個ひっかけてくれて削除した。優秀。

#boycottchina 
#boycottchineseapps 

「chinese app detector」をチェック！ https://t.co/9bes8ncucy"
94,94,"rt @theharshadahir: today, we are launching garud file transfer, share apps, movies, music, documents, and more.

- no ads
- very easy and clean user interface
- made in india

hoping for your love and support.

download here : https://t.co/pcjdjyd32y

#boycottchina #swadeshifirst
#vocalforlocal ❤️ https://t.co/rtrnkjue2x"
95,95,"rt @driverrrrh: @senator_patrick make #china pay!

terminate extradition agreement 
#boycottchina products 
#sanction 
stop trading with china
stop using spy apps https://t.co/meenyhsfbc"
96,96,@oneplus_in #boycottchina #boycottchineseproduct
97,97,"rt @blahblahbleh14: @senhawleypress many companies voice out loud for intl issues (from blm to environmental concerns etc)
but stay low with uyghurs inhumane situation, or police brutality in hong kong
hypocrites?
#boycottchina which infiltrates the free world and market! https://t.co/a9xg99osov"
98,98,"it is better to stand support of the state's policy in the juncture of this war like situation without any comments...&amp; we r with ur policy to be taken @pmoindia
#boycottchina #pmmodi #narendramodi"
99,99,rt @sanaya_speaks: भारत और चीन के बीच गलवान घाटी में छिड़ी जंग चीन को बहुत महंगी पड़ने वाली है. #boycottchina की मुहिम अब रंग लाने लगी है. देश के बड़े-बड़े बिजनसमैन भी इस मुहिम से जुड़ने लगे हैं. विभिन्न क्षेत्रों में कारोबार करने वाली कंपनी jsw ग्रुप ने सीमा पर जारी तनाव के बीच चीन से 40 करोड़ https://t.co/kn0ryfrd3i
100,100,"rt @divya_bhaskar: video : સુરતમાં ચીની વસ્તુઓનો બહિષ્કાર કરી આત્મનિર્ભર બનતી મહિલાઓએ ઉનના દોરા અને વૂડમાંથી રાખડીઓ બનાવી 
https://t.co/s9wqr2uxse

#surat #rakhi #boycottchina #boycottchineseproducts"
101,101,"@globaltimesnews thats because of you chini 
#boycottchina 
#boycottchineseproducts"
102,102,"@taiwannews886 nice move america! no one should live under the censorship and surveillance of the #ccp 
#chinazi
#boycottchineseproduct 
#boycottchina"
103,103,rt @v_vi786: #boycottchina @chinadaily @xhnews @un @tibethouseus @tibetanreview @freetibetorg #freetibet #tibetisnotchina @china @mfa_china @pdchina #chinaappban #chineseappsblocked #usa #uk #britain #freehongcong #hongkong @hongkongtourism @hongkongfp @hongkong @hongkong_news #unitedkingdom https://t.co/cxllklzm4k
104,104,time to really make changes #boycottchina. https://t.co/xmhgmxn0hr
105,105,"@ani #ccp_is_terrorist 
#boycottchina"
106,106,rt @sanaya_speaks: भारत और चीन के बीच गलवान घाटी में छिड़ी जंग चीन को बहुत महंगी पड़ने वाली है. #boycottchina की मुहिम अब रंग लाने लगी है. देश के बड़े-बड़े बिजनसमैन भी इस मुहिम से जुड़ने लगे हैं. विभिन्न क्षेत्रों में कारोबार करने वाली कंपनी jsw ग्रुप ने सीमा पर जारी तनाव के बीच चीन से 40 करोड़ https://t.co/kn0ryfrd3i
107,107,rt @driverrrrh: @ceccgov #boycottchina https://t.co/bnagnhan8w
108,108,"rt @theharshadahir: today, we are launching garud file transfer, share apps, movies, music, documents, and more.

- no ads
- very easy and clean user interface
- made in india

hoping for your love and support.

download here : https://t.co/pcjdjyd32y

#boycottchina #swadeshifirst
#vocalforlocal ❤️ https://t.co/rtrnkjue2x"
109,109,@huxijin_gt this is all china's fault! the world is isolating china for it's bad behavior. you cannot bully the world...only china will pay. all the plagues come from china...never trust china again! #boycottchina #isolatechina #chinesearethieves
110,110,"video : સુરતમાં ચીની વસ્તુઓનો બહિષ્કાર કરી આત્મનિર્ભર બનતી મહિલાઓએ ઉનના દોરા અને વૂડમાંથી રાખડીઓ બનાવી 
https://t.co/s9wqr2uxse

#surat #rakhi #boycottchina #boycottchineseproducts"
111,111,"#banyulin #boycottchina #cambodia 
cambodia's tourist hotspot bans dog meat trade https://t.co/hy7rzidkdi"
112,112,rt @sanaya_speaks: भारत और चीन के बीच गलवान घाटी में छिड़ी जंग चीन को बहुत महंगी पड़ने वाली है. #boycottchina की मुहिम अब रंग लाने लगी है. देश के बड़े-बड़े बिजनसमैन भी इस मुहिम से जुड़ने लगे हैं. विभिन्न क्षेत्रों में कारोबार करने वाली कंपनी jsw ग्रुप ने सीमा पर जारी तनाव के बीच चीन से 40 करोड़ https://t.co/kn0ryfrd3i
113,113,"for all the tiktokers, your talent won't go waste, here's new app for y'all totally made in india. reduce dependence on china and start using indian apps. support #aatmanirbharbharat 
#boycottchina #boycottchineseproduct #rizzle #madeinindia #downloadrizzle https://t.co/sw8tcvrtbi https://t.co/oyccp5j0cl"
114,114,"rt @chenpayer: @hurdonthehill please take a look at hk and stop #ccpchina as soon as possible!
#antichinazi #boycottchina are the only way to save the world!"
115,115,"rt @whiterabbit111: now haters will say that stephen bannon is also a bhakt 🤫

listen to the third-person point of view...

#indiachinastandoff #boycottchina #galwanvalley #chinaadmitspushback #us #india https://t.co/vwmqyfogw3"
116,116,"rt @driverrrrh: @hurdonthehill the fact is that #china is overpowered to destroy an international financial centre easily and no one is able to stop it ! 

make #china pay!

#boycottchina 
stop using spy apps #tiktok https://t.co/tv7tddnryg"
117,117,"@anshikapaul4 corona update in india!

confirmed: 760761
active: 270268
recovered: 469375
deaths: 21018
updated: 08/07/2020 20:13:25

#boycottchina #replaceit

for remove chinese apps download replace it - https://t.co/1fl5dav5j3 https://t.co/qyrcopnc2v"
118,118,"@wakeuponmybed corona update in india!

confirmed: 760761
active: 270268
recovered: 469375
deaths: 21018
updated: 08/07/2020 20:13:25

#boycottchina #replaceit

for remove chinese apps download replace it - https://t.co/1fl5dav5j3 https://t.co/jhtmwip2ub"
119,119,"@shashan21082609 corona update in india!

confirmed: 760761
active: 270268
recovered: 469375
deaths: 21018
updated: 08/07/2020 20:13:25

#boycottchina #replaceit

for remove chinese apps download replace it - https://t.co/1fl5dav5j3 https://t.co/l6kvr4iq31"
120,120,"@buydirectusa corona update in india!

confirmed: 760761
active: 270268
recovered: 469375
deaths: 21018
updated: 08/07/2020 20:13:25

#boycottchina #replaceit

for remove chinese apps download replace it - https://t.co/1fl5dav5j3 https://t.co/o5dxm1qsog"
121,121,"@tgartisans corona update in india!

confirmed: 760761
active: 270268
recovered: 469375
deaths: 21018
updated: 08/07/2020 20:13:25

#boycottchina #replaceit

for remove chinese apps download replace it - https://t.co/1fl5dav5j3 https://t.co/a42yedonqs"
122,122,rt @sanaya_speaks: भारत और चीन के बीच गलवान घाटी में छिड़ी जंग चीन को बहुत महंगी पड़ने वाली है. #boycottchina की मुहिम अब रंग लाने लगी है. देश के बड़े-बड़े बिजनसमैन भी इस मुहिम से जुड़ने लगे हैं. विभिन्न क्षेत्रों में कारोबार करने वाली कंपनी jsw ग्रुप ने सीमा पर जारी तनाव के बीच चीन से 40 करोड़ https://t.co/kn0ryfrd3i
